"cloneUrl","branch","origin","path","org"
"https://github.com/openrewrite/rewrite-generative-ai.git","main","github.com","openrewrite/rewrite-generative-ai","openrewrite"
"https://github.com/openrewrite/rewrite-github-actions.git","main","github.com","openrewrite/rewrite-github-actions","openrewrite"
"https://github.com/openrewrite/rewrite-gitlab.git","main","github.com","openrewrite/rewrite-gitlab","openrewrite"
"https://github.com/openrewrite/rewrite-gradle-plugin.git","main","github.com","openrewrite/rewrite-gradle-plugin","openrewrite"
"https://github.com/openrewrite/rewrite-hibernate.git","main","github.com","openrewrite/rewrite-hibernate","openrewrite"
"https://github.com/openrewrite/rewrite-jackson.git","main","github.com","openrewrite/rewrite-jackson","openrewrite"
"https://github.com/openrewrite/rewrite-java-dependencies.git","main","github.com","openrewrite/rewrite-java-dependencies","openrewrite"
"https://github.com/openrewrite/rewrite-jenkins.git","main","github.com","openrewrite/rewrite-jenkins","openrewrite"
"https://github.com/openrewrite/rewrite-joda.git","main","github.com","openrewrite/rewrite-joda","openrewrite"
"https://github.com/openrewrite/rewrite-liberty.git","main","github.com","openrewrite/rewrite-liberty","openrewrite"
"https://github.com/openrewrite/rewrite-logging-frameworks.git","main","github.com","openrewrite/rewrite-logging-frameworks","openrewrite"
"https://github.com/openrewrite/rewrite-maven-plugin.git","main","github.com","openrewrite/rewrite-maven-plugin","openrewrite"
"https://github.com/openrewrite/rewrite-micrometer.git","main","github.com","openrewrite/rewrite-micrometer","openrewrite"
"https://github.com/openrewrite/rewrite-micronaut.git","main","github.com","openrewrite/rewrite-micronaut","openrewrite"
"https://github.com/openrewrite/rewrite-migrate-java.git","main","github.com","openrewrite/rewrite-migrate-java","openrewrite"
"https://github.com/openrewrite/rewrite-netty.git","main","github.com","openrewrite/rewrite-netty","openrewrite"
"https://github.com/openrewrite/rewrite-npm.git","main","github.com","openrewrite/rewrite-npm","openrewrite"
"https://github.com/openrewrite/rewrite-okhttp.git","main","github.com","openrewrite/rewrite-okhttp","openrewrite"
"https://github.com/openrewrite/rewrite-openapi.git","main","github.com","openrewrite/rewrite-openapi","openrewrite"
"https://github.com/openrewrite/rewrite-polyglot.git","main","github.com","openrewrite/rewrite-polyglot","openrewrite"
"https://github.com/openrewrite/rewrite-python.git","main","github.com","openrewrite/rewrite-python","openrewrite"
"https://github.com/openrewrite/rewrite-quarkus.git","main","github.com","openrewrite/rewrite-quarkus","openrewrite"
"https://github.com/openrewrite/rewrite-recipe-bom.git","main","github.com","openrewrite/rewrite-recipe-bom","openrewrite"
"https://github.com/openrewrite/rewrite-recipe-markdown-generator.git","main","github.com","openrewrite/rewrite-recipe-markdown-generator","openrewrite"
"https://github.com/openrewrite/rewrite-rewrite.git","main","github.com","openrewrite/rewrite-rewrite","openrewrite"
"https://github.com/openrewrite/rewrite-spring-to-quarkus.git","main","github.com","openrewrite/rewrite-spring-to-quarkus","openrewrite"
"https://github.com/openrewrite/rewrite-spring.git","main","github.com","openrewrite/rewrite-spring","openrewrite"
"https://github.com/openrewrite/rewrite-static-analysis.git","main","github.com","openrewrite/rewrite-static-analysis","openrewrite"
"https://github.com/openrewrite/rewrite-struts.git","main","github.com","openrewrite/rewrite-struts","openrewrite"
"https://github.com/openrewrite/rewrite-templating.git","main","github.com","openrewrite/rewrite-templating","openrewrite"
"https://github.com/openrewrite/rewrite-testing-frameworks.git","main","github.com","openrewrite/rewrite-testing-frameworks","openrewrite"
"https://github.com/openrewrite/rewrite-third-party.git","main","github.com","openrewrite/rewrite-third-party","openrewrite"
"https://github.com/openrewrite/rewrite.git","main","github.com","openrewrite/rewrite","openrewrite"
"https://github.com/openrewrite/spring-petclinic-migration.git","2.1.x","github.com","openrewrite/spring-petclinic-migration","openrewrite"
